nm; A
800,000000; 0,297761
799,000000; 0,297921
798,000000; 0,298127
797,000000; 0,298303
796,000000; 0,298466
795,000000; 0,298710
794,000000; 0,298912
793,000000; 0,299049
792,000000; 0,299218
791,000000; 0,299448
790,000000; 0,299706
789,000000; 0,299871
788,000000; 0,300052
787,000000; 0,300265
786,000000; 0,300508
785,000000; 0,300762
784,000000; 0,300979
783,000000; 0,301202
782,000000; 0,301426
781,000000; 0,301659
780,000000; 0,301906
779,000000; 0,302152
778,000000; 0,302419
777,000000; 0,302666
776,000000; 0,302912
775,000000; 0,303191
774,000000; 0,303472
773,000000; 0,303679
772,000000; 0,303931
771,000000; 0,304217
770,000000; 0,304482
769,000000; 0,304744
768,000000; 0,305022
767,000000; 0,305305
766,000000; 0,305598
765,000000; 0,305899
764,000000; 0,306158
763,000000; 0,306492
762,000000; 0,306776
761,000000; 0,307048
760,000000; 0,307371
759,000000; 0,307693
758,000000; 0,307983
757,000000; 0,308277
756,000000; 0,308599
755,000000; 0,308957
754,000000; 0,309314
753,000000; 0,309625
752,000000; 0,309985
751,000000; 0,310345
750,000000; 0,310660
749,000000; 0,310980
748,000000; 0,311362
747,000000; 0,311786
746,000000; 0,312173
745,000000; 0,312500
744,000000; 0,312924
743,000000; 0,313324
742,000000; 0,313718
741,000000; 0,314135
740,000000; 0,314574
739,000000; 0,314974
738,000000; 0,315425
737,000000; 0,315878
736,000000; 0,316327
735,000000; 0,316776
734,000000; 0,317238
733,000000; 0,317760
732,000000; 0,318272
731,000000; 0,318790
730,000000; 0,319328
729,000000; 0,319892
728,000000; 0,320408
727,000000; 0,320958
726,000000; 0,321544
725,000000; 0,322131
724,000000; 0,322672
723,000000; 0,323224
722,000000; 0,323760
721,000000; 0,324296
720,000000; 0,324849
719,000000; 0,325421
718,000000; 0,325948
717,000000; 0,326442
716,000000; 0,326966
715,000000; 0,327488
714,000000; 0,327958
713,000000; 0,328357
712,000000; 0,328815
711,000000; 0,329226
710,000000; 0,329626
709,000000; 0,330032
708,000000; 0,330344
707,000000; 0,330675
706,000000; 0,331004
705,000000; 0,331308
704,000000; 0,331581
703,000000; 0,331847
702,000000; 0,332108
701,000000; 0,332333
700,000000; 0,332565
699,000000; 0,332800
698,000000; 0,332966
697,000000; 0,333158
696,000000; 0,333380
695,000000; 0,333567
694,000000; 0,333707
693,000000; 0,333835
692,000000; 0,333978
691,000000; 0,334083
690,000000; 0,334185
689,000000; 0,334296
688,000000; 0,334418
687,000000; 0,334539
686,000000; 0,334620
685,000000; 0,334676
684,000000; 0,334736
683,000000; 0,334821
682,000000; 0,334866
681,000000; 0,334967
680,000000; 0,335036
679,000000; 0,335072
678,000000; 0,335096
677,000000; 0,335137
676,000000; 0,335179
675,000000; 0,335208
674,000000; 0,335228
673,000000; 0,335253
672,000000; 0,335315
671,000000; 0,335298
670,000000; 0,335332
669,000000; 0,335364
668,000000; 0,335356
667,000000; 0,335352
666,000000; 0,335366
665,000000; 0,335387
664,000000; 0,335415
663,000000; 0,335454
662,000000; 0,335511
661,000000; 0,335590
660,000000; 0,335679
659,000000; 0,335780
658,000000; 0,335895
657,000000; 0,336034
656,000000; 0,336107
655,000000; 0,336219
654,000000; 0,336344
653,000000; 0,336457
652,000000; 0,336548
651,000000; 0,336702
650,000000; 0,336839
649,000000; 0,336956
648,000000; 0,337061
647,000000; 0,337197
646,000000; 0,337347
645,000000; 0,337479
644,000000; 0,337604
643,000000; 0,337744
642,000000; 0,337910
641,000000; 0,338061
640,000000; 0,338201
639,000000; 0,338368
638,000000; 0,338585
637,000000; 0,338713
636,000000; 0,338855
635,000000; 0,339016
634,000000; 0,339169
633,000000; 0,339305
632,000000; 0,339495
631,000000; 0,339622
630,000000; 0,339771
629,000000; 0,339941
628,000000; 0,340098
627,000000; 0,340171
626,000000; 0,340343
625,000000; 0,340497
624,000000; 0,340624
623,000000; 0,340743
622,000000; 0,340904
