nm; A
800,000000; 0,043848
799,000000; 0,043592
798,000000; 0,043371
797,000000; 0,043173
796,000000; 0,042988
795,000000; 0,042811
794,000000; 0,042635
793,000000; 0,042461
792,000000; 0,042272
791,000000; 0,042070
790,000000; 0,041871
789,000000; 0,041628
788,000000; 0,041402
787,000000; 0,041155
786,000000; 0,040880
785,000000; 0,040592
784,000000; 0,040270
783,000000; 0,039920
782,000000; 0,039580
781,000000; 0,039240
780,000000; 0,038869
779,000000; 0,038513
778,000000; 0,038186
777,000000; 0,037842
776,000000; 0,037493
775,000000; 0,037170
774,000000; 0,036875
773,000000; 0,036593
772,000000; 0,036342
771,000000; 0,036111
770,000000; 0,035882
769,000000; 0,035679
768,000000; 0,035459
767,000000; 0,035263
766,000000; 0,035076
765,000000; 0,034870
764,000000; 0,034687
763,000000; 0,034469
762,000000; 0,034237
761,000000; 0,033991
760,000000; 0,033722
759,000000; 0,033436
758,000000; 0,033138
757,000000; 0,032840
756,000000; 0,032532
755,000000; 0,032206
754,000000; 0,031898
753,000000; 0,031623
752,000000; 0,031351
751,000000; 0,031025
750,000000; 0,030634
749,000000; 0,030386
748,000000; 0,030169
747,000000; 0,029954
746,000000; 0,029759
745,000000; 0,029584
744,000000; 0,029389
743,000000; 0,029219
742,000000; 0,029057
741,000000; 0,028883
740,000000; 0,028682
739,000000; 0,028446
738,000000; 0,028244
737,000000; 0,028009
736,000000; 0,027768
735,000000; 0,027523
734,000000; 0,027244
733,000000; 0,027004
732,000000; 0,026736
731,000000; 0,026475
730,000000; 0,026232
729,000000; 0,026000
728,000000; 0,025805
727,000000; 0,025588
726,000000; 0,025408
725,000000; 0,025262
724,000000; 0,025116
723,000000; 0,024985
722,000000; 0,024856
721,000000; 0,024718
720,000000; 0,024571
719,000000; 0,024415
718,000000; 0,024239
717,000000; 0,024058
716,000000; 0,023838
715,000000; 0,023599
714,000000; 0,023366
713,000000; 0,023134
712,000000; 0,022900
711,000000; 0,022656
710,000000; 0,022420
709,000000; 0,022206
708,000000; 0,022010
707,000000; 0,021865
706,000000; 0,021734
705,000000; 0,021618
704,000000; 0,021518
703,000000; 0,021435
702,000000; 0,021394
701,000000; 0,021336
700,000000; 0,021273
699,000000; 0,021204
698,000000; 0,021103
697,000000; 0,021019
696,000000; 0,020873
695,000000; 0,020713
694,000000; 0,020555
693,000000; 0,020379
692,000000; 0,020169
691,000000; 0,019997
690,000000; 0,019824
689,000000; 0,019667
688,000000; 0,019572
687,000000; 0,019531
686,000000; 0,019506
685,000000; 0,019538
684,000000; 0,019612
683,000000; 0,019703
682,000000; 0,019893
681,000000; 0,020052
680,000000; 0,020227
679,000000; 0,020408
678,000000; 0,020576
677,000000; 0,020728
676,000000; 0,020864
675,000000; 0,020993
674,000000; 0,021117
673,000000; 0,021237
672,000000; 0,021378
671,000000; 0,021499
670,000000; 0,021642
669,000000; 0,021790
668,000000; 0,021918
667,000000; 0,021995
666,000000; 0,021924
665,000000; 0,021774
664,000000; 0,021528
663,000000; 0,021166
662,000000; 0,020670
661,000000; 0,020083
660,000000; 0,019349
659,000000; 0,018458
658,000000; 0,017406
657,000000; 0,016193
656,000000; 0,014931
655,000000; 0,013592
654,000000; 0,012204
653,000000; 0,010879
652,000000; 0,009960
651,000000; 0,009806
650,000000; 0,009620
649,000000; 0,009394
648,000000; 0,009183
647,000000; 0,009042
646,000000; 0,008925
645,000000; 0,008812
644,000000; 0,008710
643,000000; 0,008617
642,000000; 0,008473
641,000000; 0,008281
640,000000; 0,008020
639,000000; 0,007697
638,000000; 0,007334
637,000000; 0,006932
636,000000; 0,006504
635,000000; 0,006080
634,000000; 0,005672
633,000000; 0,005291
632,000000; 0,004967
631,000000; 0,004686
630,000000; 0,004465
629,000000; 0,004287
628,000000; 0,004135
627,000000; 0,004020
626,000000; 0,003903
625,000000; 0,003732
624,000000; 0,003502
623,000000; 0,003219
622,000000; 0,002892
621,000000; 0,002501
620,000000; 0,002039
619,000000; 0,001574
618,000000; 0,001139
617,000000; 0,000722
616,000000; 0,000337
615,000000; 0,000019
614,000000; -0,000251
613,000000; -0,000470
612,000000; -0,000622
611,000000; -0,000767
610,000000; -0,000942
609,000000; -0,001137
608,000000; -0,001375
607,000000; -0,001691
606,000000; -0,002037
605,000000; -0,002435
604,000000; -0,002892
603,000000; -0,003366
602,000000; -0,003807
601,000000; -0,004252
600,000000; -0,004617
599,000000; -0,004939
598,000000; -0,005208
597,000000; -0,005419
596,000000; -0,005649
595,000000; -0,005846
594,000000; -0,006087
593,000000; -0,006386
592,000000; -0,006744
591,000000; -0,007156
590,000000; -0,007624
589,000000; -0,008114
588,000000; -0,008605
587,000000; -0,009077
586,000000; -0,009528
585,000000; -0,009925
584,000000; -0,010252
583,000000; -0,010529
582,000000; -0,010784
581,000000; -0,011069
580,000000; -0,011363
579,000000; -0,011732
578,000000; -0,012153
577,000000; -0,012607
576,000000; -0,013081
575,000000; -0,013606
574,000000; -0,014103
573,000000; -0,014555
572,000000; -0,014974
571,000000; -0,015392
570,000000; -0,015712
569,000000; -0,016061
568,000000; -0,016423
567,000000; -0,016800
566,000000; -0,017205
565,000000; -0,017686
564,000000; -0,018189
563,000000; -0,018731
562,000000; -0,019296
561,000000; -0,019858
560,000000; -0,020419
559,000000; -0,020887
558,000000; -0,021297
557,000000; -0,021707
556,000000; -0,022153
555,000000; -0,022562
554,000000; -0,023042
553,000000; -0,023581
552,000000; -0,024176
551,000000; -0,024795
550,000000; -0,025317
549,000000; -0,025927
548,000000; -0,026514
547,000000; -0,027047
546,000000; -0,027519
545,000000; -0,027942
544,000000; -0,028437
543,000000; -0,028921
542,000000; -0,029482
541,000000; -0,030133
540,000000; -0,030793
539,000000; -0,031517
538,000000; -0,032199
537,000000; -0,032870
536,000000; -0,033511
535,000000; -0,034062
534,000000; -0,034543
533,000000; -0,035034
532,000000; -0,035549
531,000000; -0,036133
530,000000; -0,036853
529,000000; -0,037635
528,000000; -0,038481
527,000000; -0,039313
526,000000; -0,040099
525,000000; -0,040847
524,000000; -0,041472
523,000000; -0,042047
522,000000; -0,042623
521,000000; -0,043239
520,000000; -0,043926
519,000000; -0,044795
518,000000; -0,045726
517,000000; -0,046690
516,000000; -0,047650
515,000000; -0,048554
514,000000; -0,049333
513,000000; -0,050019
512,000000; -0,050690
511,000000; -0,051369
510,000000; -0,052007
509,000000; -0,052844
508,000000; -0,053822
507,000000; -0,054888
506,000000; -0,055971
505,000000; -0,056967
504,000000; -0,057868
503,000000; -0,058704
502,000000; -0,059450
501,000000; -0,060142
500,000000; -0,060914
499,000000; -0,061821
498,000000; -0,062876
497,000000; -0,064010
496,000000; -0,065181
495,000000; -0,066389
494,000000; -0,067398
493,000000; -0,068331
492,000000; -0,069196
491,000000; -0,070037
490,000000; -0,070978
489,000000; -0,072148
488,000000; -0,073414
487,000000; -0,074741
486,000000; -0,076082
485,000000; -0,077363
484,000000; -0,078475
483,000000; -0,079577
482,000000; -0,080734
481,000000; -0,082003
480,000000; -0,083426
479,000000; -0,085000
478,000000; -0,086750
477,000000; -0,088497
476,000000; -0,090134
475,000000; -0,091658
474,000000; -0,093200
473,000000; -0,094822
472,000000; -0,096588
471,000000; -0,098501
470,000000; -0,100534
469,000000; -0,102619
468,000000; -0,104598
467,000000; -0,106389
466,000000; -0,108153
465,000000; -0,109938
464,000000; -0,111796
463,000000; -0,113767
462,000000; -0,115950
461,000000; -0,118158
460,000000; -0,120282
459,000000; -0,122432
458,000000; -0,124442
457,000000; -0,126490
456,000000; -0,128642
455,000000; -0,130934
454,000000; -0,133316
453,000000; -0,135605
452,000000; -0,137799
451,000000; -0,140022
450,000000; -0,142280
449,000000; -0,144653
448,000000; -0,147105
447,000000; -0,149614
446,000000; -0,152174
445,000000; -0,154842
444,000000; -0,157382
443,000000; -0,159978
442,000000; -0,162648
441,000000; -0,165382
440,000000; -0,168263
439,000000; -0,171123
438,000000; -0,174098
437,000000; -0,177076
436,000000; -0,179985
435,000000; -0,182928
434,000000; -0,186141
433,000000; -0,189433
432,000000; -0,192736
431,000000; -0,196041
430,000000; -0,199409
429,000000; -0,202847
428,000000; -0,206486
427,000000; -0,210300
426,000000; -0,214194
425,000000; -0,218029
424,000000; -0,221846
423,000000; -0,225798
422,000000; -0,230003
421,000000; -0,234402
420,000000; -0,238850
419,000000; -0,243262
418,000000; -0,247608
417,000000; -0,252177
416,000000; -0,256958
415,000000; -0,261853
414,000000; -0,266749
413,000000; -0,271651
412,000000; -0,276626
411,000000; -0,281795
410,000000; -0,287229
409,000000; -0,292716
408,000000; -0,298363
407,000000; -0,304020
406,000000; -0,309728
405,000000; -0,315620
404,000000; -0,322007
403,000000; -0,328429
402,000000; -0,335017
401,000000; -0,341703
400,000000; -0,348631
399,000000; -0,356525
398,000000; -0,364116
397,000000; -0,371658
396,000000; -0,379563
395,000000; -0,387970
394,000000; -0,396234
393,000000; -0,404827
392,000000; -0,413745
391,000000; -0,422962
390,000000; -0,432521
389,000000; -0,442612
388,000000; -0,453332
387,000000; -0,463995
386,000000; -0,475408
385,000000; -0,487847
384,000000; -0,500612
383,000000; -0,513825
382,000000; -0,528102
381,000000; -0,543327
