nm; A
800,000000; 0,036440
799,000000; 0,036433
798,000000; 0,036447
797,000000; 0,036425
796,000000; 0,036390
795,000000; 0,036433
794,000000; 0,036457
793,000000; 0,036446
792,000000; 0,036436
791,000000; 0,036426
790,000000; 0,036390
789,000000; 0,036407
788,000000; 0,036370
787,000000; 0,036367
786,000000; 0,036390
785,000000; 0,036371
784,000000; 0,036341
783,000000; 0,036345
782,000000; 0,036341
781,000000; 0,036324
780,000000; 0,036307
779,000000; 0,036312
778,000000; 0,036332
777,000000; 0,036326
776,000000; 0,036300
775,000000; 0,036282
774,000000; 0,036297
773,000000; 0,036293
772,000000; 0,036269
771,000000; 0,036252
770,000000; 0,036272
769,000000; 0,036264
768,000000; 0,036264
767,000000; 0,036243
766,000000; 0,036214
765,000000; 0,036202
764,000000; 0,036232
763,000000; 0,036246
762,000000; 0,036230
761,000000; 0,036215
760,000000; 0,036231
759,000000; 0,036241
758,000000; 0,036220
757,000000; 0,036198
756,000000; 0,036204
755,000000; 0,036241
754,000000; 0,036218
753,000000; 0,036188
752,000000; 0,036169
751,000000; 0,036179
750,000000; 0,036208
749,000000; 0,036160
748,000000; 0,036176
747,000000; 0,036178
746,000000; 0,036164
745,000000; 0,036139
744,000000; 0,036103
743,000000; 0,036100
742,000000; 0,036124
741,000000; 0,036131
740,000000; 0,036107
739,000000; 0,036094
738,000000; 0,036091
737,000000; 0,036086
736,000000; 0,036077
735,000000; 0,036067
734,000000; 0,036060
733,000000; 0,036021
732,000000; 0,036025
731,000000; 0,035997
730,000000; 0,035956
729,000000; 0,035995
728,000000; 0,036027
727,000000; 0,036037
726,000000; 0,036028
725,000000; 0,036004
724,000000; 0,035975
723,000000; 0,036003
722,000000; 0,035977
721,000000; 0,035965
720,000000; 0,035963
719,000000; 0,035939
718,000000; 0,035916
717,000000; 0,035935
716,000000; 0,035932
715,000000; 0,035917
714,000000; 0,035913
713,000000; 0,035889
712,000000; 0,035910
711,000000; 0,035907
710,000000; 0,035889
709,000000; 0,035877
708,000000; 0,035902
707,000000; 0,035870
706,000000; 0,035885
705,000000; 0,035885
704,000000; 0,035849
703,000000; 0,035864
702,000000; 0,035866
701,000000; 0,035879
700,000000; 0,035876
699,000000; 0,035857
698,000000; 0,035862
697,000000; 0,035864
696,000000; 0,035844
695,000000; 0,035827
694,000000; 0,035818
693,000000; 0,035804
692,000000; 0,035805
691,000000; 0,035845
690,000000; 0,035855
689,000000; 0,035830
688,000000; 0,035804
687,000000; 0,035799
686,000000; 0,035834
685,000000; 0,035833
684,000000; 0,035822
683,000000; 0,035853
682,000000; 0,035844
681,000000; 0,035833
680,000000; 0,035823
679,000000; 0,035826
678,000000; 0,035845
677,000000; 0,035821
676,000000; 0,035831
675,000000; 0,035846
674,000000; 0,035860
673,000000; 0,035866
672,000000; 0,035853
671,000000; 0,035867
670,000000; 0,035867
669,000000; 0,035861
668,000000; 0,035856
667,000000; 0,035846
666,000000; 0,035849
665,000000; 0,035859
664,000000; 0,035859
663,000000; 0,035851
662,000000; 0,035892
661,000000; 0,035886
660,000000; 0,035889
659,000000; 0,035896
658,000000; 0,035909
657,000000; 0,035942
656,000000; 0,035951
