nm; A
800,000000; 0,051283
799,000000; 0,050984
798,000000; 0,050669
797,000000; 0,050447
796,000000; 0,050345
795,000000; 0,050319
794,000000; 0,050371
793,000000; 0,050668
792,000000; 0,051070
791,000000; 0,051525
790,000000; 0,052043
789,000000; 0,052612
788,000000; 0,053236
787,000000; 0,053902
786,000000; 0,054541
785,000000; 0,055060
784,000000; 0,055547
783,000000; 0,055944
782,000000; 0,056174
781,000000; 0,056276
780,000000; 0,056338
779,000000; 0,056106
778,000000; 0,055903
777,000000; 0,055626
776,000000; 0,055244
775,000000; 0,054774
774,000000; 0,054403
773,000000; 0,054028
772,000000; 0,053763
771,000000; 0,053586
770,000000; 0,053441
769,000000; 0,053474
768,000000; 0,053690
767,000000; 0,054037
766,000000; 0,054499
765,000000; 0,055064
764,000000; 0,055703
763,000000; 0,056373
762,000000; 0,057136
761,000000; 0,057899
760,000000; 0,058565
759,000000; 0,059218
758,000000; 0,059673
757,000000; 0,060028
756,000000; 0,060251
755,000000; 0,060309
754,000000; 0,060273
753,000000; 0,060095
752,000000; 0,059743
751,000000; 0,059359
750,000000; 0,059040
749,000000; 0,058617
748,000000; 0,058360
747,000000; 0,058182
746,000000; 0,058141
745,000000; 0,058282
744,000000; 0,058572
743,000000; 0,059020
742,000000; 0,059637
741,000000; 0,060359
740,000000; 0,061156
739,000000; 0,062077
738,000000; 0,062955
737,000000; 0,063807
736,000000; 0,064596
735,000000; 0,065291
734,000000; 0,065875
733,000000; 0,066285
732,000000; 0,066494
731,000000; 0,066555
730,000000; 0,066492
729,000000; 0,066312
728,000000; 0,066073
727,000000; 0,065818
726,000000; 0,065608
725,000000; 0,065480
724,000000; 0,065456
723,000000; 0,065649
722,000000; 0,065996
721,000000; 0,066548
720,000000; 0,067306
719,000000; 0,068235
718,000000; 0,069267
717,000000; 0,070410
716,000000; 0,071591
715,000000; 0,072754
714,000000; 0,073844
713,000000; 0,074795
712,000000; 0,075573
711,000000; 0,076157
710,000000; 0,076592
709,000000; 0,076910
708,000000; 0,077054
707,000000; 0,077136
706,000000; 0,077220
705,000000; 0,077354
704,000000; 0,077594
703,000000; 0,078029
702,000000; 0,078634
701,000000; 0,079487
700,000000; 0,080579
699,000000; 0,081890
698,000000; 0,083401
697,000000; 0,085148
696,000000; 0,087026
695,000000; 0,088966
694,000000; 0,090924
693,000000; 0,092878
692,000000; 0,094784
691,000000; 0,096578
690,000000; 0,098316
689,000000; 0,100014
688,000000; 0,101679
687,000000; 0,103463
686,000000; 0,105379
685,000000; 0,107533
684,000000; 0,109989
683,000000; 0,112787
682,000000; 0,116032
681,000000; 0,119820
680,000000; 0,124084
679,000000; 0,128797
678,000000; 0,133908
677,000000; 0,139370
676,000000; 0,145305
675,000000; 0,151459
674,000000; 0,157729
673,000000; 0,164061
672,000000; 0,170556
671,000000; 0,177145
670,000000; 0,183799
669,000000; 0,190440
668,000000; 0,197043
667,000000; 0,203769
666,000000; 0,210528
665,000000; 0,217381
664,000000; 0,224304
663,000000; 0,231354
662,000000; 0,238705
661,000000; 0,246061
660,000000; 0,253415
659,000000; 0,260826
658,000000; 0,268260
657,000000; 0,275543
656,000000; 0,282097
655,000000; 0,288402
654,000000; 0,294304
653,000000; 0,299715
652,000000; 0,304587
651,000000; 0,308608
650,000000; 0,312134
649,000000; 0,315189
648,000000; 0,317749
647,000000; 0,319782
646,000000; 0,321467
645,000000; 0,322893
644,000000; 0,324029
643,000000; 0,324865
642,000000; 0,325494
641,000000; 0,325826
640,000000; 0,325971
639,000000; 0,325881
638,000000; 0,325476
637,000000; 0,324664
636,000000; 0,323577
635,000000; 0,322161
634,000000; 0,320457
633,000000; 0,318524
632,000000; 0,316334
631,000000; 0,314074
630,000000; 0,311762
629,000000; 0,309470
628,000000; 0,307262
627,000000; 0,305169
626,000000; 0,303337
625,000000; 0,301771
624,000000; 0,300395
623,000000; 0,299152
622,000000; 0,298051
621,000000; 0,296998
620,000000; 0,295883
619,000000; 0,294730
618,000000; 0,293555
617,000000; 0,292354
616,000000; 0,291145
615,000000; 0,290150
614,000000; 0,289350
613,000000; 0,288810
612,000000; 0,288660
611,000000; 0,288904
610,000000; 0,289538
609,000000; 0,290436
608,000000; 0,291543
607,000000; 0,292828
606,000000; 0,294110
605,000000; 0,295251
604,000000; 0,296286
603,000000; 0,297183
602,000000; 0,297900
601,000000; 0,298509
600,000000; 0,299082
599,000000; 0,299725
598,000000; 0,300504
597,000000; 0,301460
596,000000; 0,302623
595,000000; 0,304064
594,000000; 0,305587
593,000000; 0,307171
592,000000; 0,308770
591,000000; 0,310140
590,000000; 0,311283
589,000000; 0,312192
588,000000; 0,312866
587,000000; 0,313344
586,000000; 0,313721
585,000000; 0,314209
584,000000; 0,314851
583,000000; 0,315733
582,000000; 0,316883
581,000000; 0,318244
580,000000; 0,319902
579,000000; 0,321631
578,000000; 0,323314
577,000000; 0,324912
576,000000; 0,326470
575,000000; 0,327735
574,000000; 0,328906
573,000000; 0,330045
572,000000; 0,331202
571,000000; 0,332429
570,000000; 0,333864
569,000000; 0,335545
568,000000; 0,337520
567,000000; 0,339708
566,000000; 0,341958
565,000000; 0,344248
564,000000; 0,346351
563,000000; 0,348254
562,000000; 0,349891
561,000000; 0,351204
560,000000; 0,352181
559,000000; 0,353025
558,000000; 0,353756
557,000000; 0,354414
556,000000; 0,355061
555,000000; 0,355814
554,000000; 0,356401
553,000000; 0,356700
